epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.08,1.29676,1.06089,1.18355,0.29105,0.81412,0.26729,0.15855,1.3175,2.44921,1.24365,0.000665817,0.000665817,0.000665817
2,654.34,1.3119,0.83065,1.19876,0.92347,0.84657,0.90915,0.56728,1.29501,0.81425,1.21304,0.0013061,0.0013061,0.0013061
3,975.421,1.29708,0.7955,1.19169,0.95013,0.84146,0.91879,0.58981,1.25969,0.76182,1.19314,0.00191998,0.00191998,0.00191998
4,1305.42,1.25779,0.7404,1.17724,0.93688,0.88383,0.9214,0.59416,1.27379,0.70432,1.19084,0.0018812,0.0018812,0.0018812
5,1603.37,1.24576,0.71101,1.1628,0.96163,0.89203,0.94457,0.6202,1.22684,0.62731,1.17196,0.0018416,0.0018416,0.0018416
6,1895.54,1.20676,0.66279,1.14339,0.96976,0.90569,0.94501,0.63349,1.18061,0.5989,1.14042,0.001802,0.001802,0.001802
7,2178.95,1.19785,0.64278,1.13246,0.97394,0.91948,0.9569,0.64852,1.16666,0.57196,1.12857,0.0017624,0.0017624,0.0017624
8,2450.84,1.18528,0.62816,1.12778,0.97104,0.91662,0.95773,0.65083,1.17347,0.55935,1.12599,0.0017228,0.0017228,0.0017228
9,2737.09,1.17306,0.61223,1.12177,0.97158,0.91886,0.95522,0.65063,1.15297,0.54822,1.12065,0.0016832,0.0016832,0.0016832
10,3028.97,1.16016,0.59743,1.11802,0.98434,0.91622,0.95859,0.66352,1.13507,0.54139,1.10527,0.0016436,0.0016436,0.0016436
11,3306.87,1.15553,0.58222,1.1123,0.97741,0.92392,0.95727,0.6542,1.14391,0.53108,1.11462,0.001604,0.001604,0.001604
12,3587.15,1.14457,0.57157,1.10578,0.95734,0.92015,0.95559,0.64551,1.17378,0.53119,1.13662,0.0015644,0.0015644,0.0015644
13,3885.91,1.14832,0.56619,1.10748,0.98122,0.93121,0.96324,0.66906,1.1329,0.51864,1.10512,0.0015248,0.0015248,0.0015248
14,4173.18,1.1245,0.55092,1.0929,0.97335,0.93166,0.9649,0.66794,1.14327,0.50534,1.1045,0.0014852,0.0014852,0.0014852
15,4462.78,1.12253,0.55335,1.08726,0.98082,0.93167,0.96315,0.66933,1.14377,0.49336,1.0983,0.0014456,0.0014456,0.0014456
16,4744.3,1.12504,0.54078,1.09229,0.98085,0.93327,0.96671,0.67944,1.11369,0.4886,1.08921,0.001406,0.001406,0.001406
17,5022.19,1.11931,0.53898,1.0868,0.97469,0.92969,0.96643,0.6791,1.10278,0.4854,1.0837,0.0013664,0.0013664,0.0013664
18,5311.87,1.1098,0.52679,1.08306,0.97862,0.93485,0.96766,0.67756,1.12367,0.4801,1.08693,0.0013268,0.0013268,0.0013268
19,5603.12,1.10702,0.52196,1.08268,0.98071,0.94032,0.96484,0.67731,1.09724,0.46552,1.08182,0.0012872,0.0012872,0.0012872
20,5894.19,1.1016,0.51744,1.08159,0.97562,0.93485,0.96352,0.67939,1.11144,0.46108,1.07888,0.0012476,0.0012476,0.0012476
21,6199.45,1.09273,0.50783,1.07545,0.97656,0.94442,0.97176,0.68908,1.11199,0.44523,1.09149,0.001208,0.001208,0.001208
22,6487.06,1.09221,0.50395,1.07769,0.98189,0.93842,0.97285,0.68499,1.1022,0.45481,1.08281,0.0011684,0.0011684,0.0011684
23,6769.99,1.08529,0.50051,1.0696,0.97634,0.94396,0.97011,0.68757,1.10021,0.44526,1.07404,0.0011288,0.0011288,0.0011288
24,7061.39,1.08152,0.49211,1.07868,0.98232,0.93639,0.97295,0.69742,1.07914,0.44658,1.07615,0.0010892,0.0010892,0.0010892
25,7341.89,1.07021,0.48931,1.06926,0.98011,0.94266,0.96959,0.68761,1.09184,0.44692,1.07504,0.0010496,0.0010496,0.0010496
26,7618.27,1.07078,0.48372,1.06802,0.97511,0.94624,0.96983,0.69645,1.08781,0.44125,1.06835,0.00101,0.00101,0.00101
27,7900.78,1.06594,0.4796,1.06306,0.98341,0.94533,0.97129,0.69679,1.09159,0.43204,1.07366,0.0009704,0.0009704,0.0009704
28,8187.73,1.05446,0.47388,1.05931,0.98239,0.94032,0.96961,0.69331,1.08452,0.42827,1.06939,0.0009308,0.0009308,0.0009308
29,8472.1,1.06263,0.47299,1.06128,0.98111,0.94533,0.97419,0.69645,1.08761,0.42349,1.06747,0.0008912,0.0008912,0.0008912
30,8756.13,1.05014,0.46639,1.05244,0.97539,0.94806,0.97207,0.69751,1.08072,0.42591,1.06845,0.0008516,0.0008516,0.0008516
31,9036.72,1.06325,0.46742,1.05866,0.98655,0.93584,0.9737,0.70093,1.07407,0.41515,1.0629,0.000812,0.000812,0.000812
32,9316.24,1.04153,0.45713,1.0501,0.97606,0.94741,0.97491,0.70557,1.07279,0.4162,1.0613,0.0007724,0.0007724,0.0007724
33,9599.12,1.04201,0.45334,1.05331,0.98278,0.95125,0.97668,0.70206,1.07674,0.41036,1.06382,0.0007328,0.0007328,0.0007328
34,9878.58,1.04363,0.45211,1.05134,0.97834,0.94897,0.9753,0.70532,1.06489,0.40429,1.05363,0.0006932,0.0006932,0.0006932
35,10161.1,1.0349,0.44332,1.04929,0.98302,0.95034,0.97601,0.70715,1.06946,0.40754,1.06169,0.0006536,0.0006536,0.0006536
36,10440.6,1.02436,0.43997,1.05179,0.9816,0.94775,0.97509,0.70266,1.06583,0.39758,1.05803,0.000614,0.000614,0.000614
37,10721.3,1.02856,0.43873,1.04729,0.98996,0.94307,0.97586,0.70579,1.06453,0.39883,1.05743,0.0005744,0.0005744,0.0005744
38,11000.8,1.01195,0.43072,1.04036,0.98577,0.94657,0.97761,0.71126,1.06695,0.39778,1.05686,0.0005348,0.0005348,0.0005348
39,11283.2,1.0045,0.4255,1.0391,0.98818,0.94624,0.97637,0.70867,1.06405,0.38905,1.05868,0.0004952,0.0004952,0.0004952
40,11563,1.0007,0.42002,1.03385,0.97904,0.95759,0.97715,0.71302,1.0677,0.38798,1.05831,0.0004556,0.0004556,0.0004556
41,11831.2,1.00519,0.38715,1.04677,0.9859,0.94715,0.97631,0.70895,1.05901,0.39706,1.04953,0.000416,0.000416,0.000416
42,12099.3,0.99286,0.38704,1.03959,0.98434,0.94989,0.97245,0.70339,1.06131,0.40285,1.05358,0.0003764,0.0003764,0.0003764
43,12368,0.98738,0.37726,1.03629,0.98861,0.94396,0.97547,0.71062,1.0661,0.40151,1.05608,0.0003368,0.0003368,0.0003368
44,12636.7,0.98527,0.37725,1.03395,0.9862,0.94451,0.976,0.71694,1.0524,0.39116,1.04854,0.0002972,0.0002972,0.0002972
45,12906.4,0.97684,0.3691,1.033,0.98421,0.94989,0.97546,0.71234,1.05388,0.3946,1.05139,0.0002576,0.0002576,0.0002576
46,13174,0.97059,0.36491,1.03065,0.98343,0.94806,0.97474,0.7118,1.05129,0.38711,1.04923,0.000218,0.000218,0.000218
47,13442.6,0.96516,0.3639,1.02794,0.9873,0.94442,0.97406,0.71594,1.04863,0.38688,1.04645,0.0001784,0.0001784,0.0001784
48,13710.5,0.95787,0.35867,1.02755,0.9853,0.94692,0.97314,0.71161,1.05061,0.38793,1.04896,0.0001388,0.0001388,0.0001388
49,13979.3,0.95127,0.35208,1.0231,0.98489,0.95125,0.97622,0.71596,1.05213,0.38424,1.05047,9.92e-05,9.92e-05,9.92e-05
50,14247.5,0.9465,0.34989,1.019,0.98124,0.95321,0.97454,0.71584,1.04961,0.38302,1.04956,5.96e-05,5.96e-05,5.96e-05
